"","B/AICHI/7/1998","B/ALGERIA/G-486/2010","B/ALGERIA/G486/2010","B/BANGKOK/163/1990","B/BANGLADESH/3333/2007","B/BANGLADESH/3333/2008","B/BARCELONA/143/2008","B/BEIJING/184/1993","B/BRISBANE/3/2007","B/EGYPT/144/2005","B/ENGLAND/145/2008","B/ESTONIA/55669/2011","B/FLORIDA/4/2006","B/FLORIDA/7/2004","B/FLORIDA/7/2005","B/GUANGDONG/120/2000","B/HARBIN/7/1994","B/HONG-KONG/3577/2012","B/HONGKONG/22/1989","B/JIANGSU/10/2003","B/JOHANNESBURG/69/2001","B/LUSAKA/270/1999","B/LUSAKA/432/1999","B/MASSACHUSETTS/2/2012","B/MIE/1/1993","B/NIEDERSACHSEN/1/2010","B/NOVOSIBIRSK/1/2012","B/SENDAI/114/2007","B/SERBIA/1894/2011","B/SHANGHAI/361/2002","B/SHIGA/T30/1998","B/SHIZUOKA/15/2001","B/SICHUAN/379/1999","B/STOCKHOLM/12/2011","B/VALLADOLID/18/2008","B/VICTORIA/502/2004","B/WISCONSIN/1/2010","B/YAMAGATA/16/1988","B/YAMAGATA/552/2001","B/YAMAGATA/K501/2001","B/YAMAGATA/K515/2001","B/YAMANASHI/166/1998"
"B/Milano/66/2004_2004.0_x_x_YAM","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","320","*","*","*","*","*","*","*","*","*","320","*","*","160","*","*","*","*","*","*","*","*","*"
"B/NewYork/47/2001_2001.0_x_x_YAM","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","320","*","*","*","*","*","*","*","*","*","*","640","320","*","*","*","*","*","*","*","*","*"
"B/Niedersachsen/1/2010_2010.0_x_x_YAM","*","*","1280","*","640","*","*","*","2560","160","320","*","640","*","*","*","*","*","*","*","*","*","*","*","*","1280","*","*","*","*","*","*","*","*","*","*","160","*","*","*","*","*"
"B/Norway/1181/2010_2010.0_x_x_YAM","*","*","640","*","160","*","*","*","320","160","320","*","5120","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","160","*","*","*","*","*"
"B/Novosibirsk/2/2007_2007.0_x_x_YAM","*","*","*","*","*","*","*","*","*","160","*","*","*","160","*","*","*","*","*","40","*","*","*","*","*","*","*","*","*","80","*","*","80","*","*","*","*","*","*","*","*","*"
"B/Osaka/1201/2000_2000.0_x_x_YAM","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","160"
"B/Oslo/71/2004_2004.0_x_x_YAM","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","320","*","*","*","*","*","*","*","*","*","320","*","*","160","*","*","*","*","*","*","*","*","*"
"B/Panama/45/1990_1990.0_x_x_YAM","*","*","*","*","*","*","*","160","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","<40","*","*","*","*","160","*","*","*","*"
"B/Paris/1870/2011_2011.0_x_x_YAM","*","*","*","*","40","*","*","*","160","40","40","160","2560","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","320","*","*","*","*","320","*","*","40","*","*","*","*","*"
"B/Paris/1900/2011_2011.0_x_x_YAM","*","*","*","*","80","*","*","*","160","80","40","160","2560","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","320","*","*","*","*","320","*","*","40","*","*","*","*","*"
"B/Parma/5/2002_2002.0_x_x_YAM","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","160","*","*","*","*","*","*","*","*","*"
"B/Perth/12/2007_2007.0_x_x_YAM","*","*","*","*","*","*","*","*","*","160","*","*","640","640","*","*","*","*","*","320","*","*","*","*","*","*","*","*","*","80","*","*","40","*","*","*","*","*","*","*","*","*"
"B/Perth/204/2008_2008.0_x_x_YAM","*","*","*","*","<40","*","<10","*","160","40","80","*","40","*","*","*","*","*","*","*","*","*","*","*","*","*","*","160","*","*","*","*","*","*","<10","*","*","*","*","*","*","*"
"B/Perth/6/2008_2008.0_x_x_YAM","*","*","*","*","80","*","<10","*","640","80","40","*","160","*","*","*","*","*","*","*","*","*","*","*","*","*","*","320","*","*","*","*","*","*","<10","*","*","*","*","*","*","*"
"B/Quebec/2/2001_2001.0_x_x_YAM","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","320","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","1280","*","*","*","*","*","*","*","*","1280"
